name,phone,place_id,address,opening_hours_json,user_ratings_total,query_or_type
Tucson Airport Shuttle,(520) 797-8888,n30VLlGaYAITj5MWnByNKQ,"902 S 6th Ave, Tucson, AZ, 85701",,6,airport shuttle Tucson
Tucson Airport Cab,(520) 407-5466,tNzy2LwYBoYtMwq_yZsHYg,"7401 N La Cholla Blvd, Tucson, AZ, 85741",,40,airport shuttle Tucson
UNO Transportation,(520) 247-1811,mKWnoxJBHGQxNOZ6ph8UTg,"Tucson, AZ, 85704",,22,airport shuttle Tucson
Top Shelf Transportation,(520) 360-0866,0ZCx3ozS51Z_cfqUTKYQUA,"Tucson, AZ, 85716",,6,airport shuttle Tucson
24hr Express,(520) 908-6990,FRhui4YMBWlr6NrNTPmLCA,"Tucson, AZ, 85750",,49,airport shuttle Tucson
Gray Line Arizona,(520) 622-8811,TIzoI8B8uGuI0DNWlo49TA,"3594 E Lincoln St, Tucson, AZ, 85714",,3,airport shuttle Tucson
Limoport Transportation,(520) 529-7400,Q4UP-mqHVE1exLE5dHFQPA,"231 W Giaconda Way, Ste 133, Tucson, AZ, 85704",,20,airport shuttle Tucson
Shuttle Tucson,(520) 441-8123,O8y-7S7_OWjh8J0bdNEGeg,"6990 E 22nd St, Ste 110-121, Tucson, AZ, 85710",,2,airport shuttle Tucson
My Airport Driver Tucson,(520) 299-1300,cHXcag_BblCyZDuG_Y1Beg,"Tucson, AZ",,1,airport shuttle Tucson
E Z Way Shuttle Service,(520) 889-4834,GuXqADh4Tbzga-o2gFv9lg,"5685 S Ballantry Dr, Tucson, AZ, 85746",,5,airport shuttle Tucson
Phoenix to Tucson Shuttle,(480) 757-3010,2uoG99QUBLGyUsZY_XieOQ,"Tucson, AZ, 85756",,3,airport shuttle Tucson
Go Green Shuttle,(520) 549-5009,w4BcosizKjiFouDZojU0jg,"Tucson, AZ, 85704",,5,airport shuttle Tucson
AAA Airport Taxi,(520) 207-4790,LRsmsAfnMTZcDYBcpI1Xzg,"6137 S Foxhunt Dr, Tucson, AZ, 85746",,2,airport shuttle Tucson
Integrity Transportation,(520) 733-1849,92Q9yt3pFKkyzLKE-ROkNQ,"8110 S Houghton Rd, Ste 158-203, Tucson, AZ, 85747",,6,airport shuttle Tucson
Flashpoint Transportation,(520) 572-9898,EtbIUzE-QtayogMTYHXRgQ,"Tucson, AZ, 85704",,4,airport shuttle Tucson
Groome Transportation,(520) 795-6771,FyXNlwJC3T0p8tDCjvL6bQ,"5350 E Speedway Blvd, Tucson, AZ, 85712",,60,airport shuttle Tucson
LeChic Transport & Limo Services,(520) 395-6705,_I4XwQ46MBYMeGgzf1tyHA,"255 N Rosemont, Ste 57333, Tucson, AZ, 85732",,6,airport shuttle Tucson
My Arizona Butler,(520) 280-8846,dLES16GVEaGbybge2Tqy8w,"Catalina, AZ, 85739",,7,airport shuttle Tucson
Adobe Transportation,(520) 609-0591,1WYGI3Gw8TdmG7teUQK9ug,"4625 E Broadway Blvd, Ste 116, Tucson, AZ, 85711",,8,airport shuttle Tucson
MBL Transportation,(520) 578-9345,PprbXx6-6nb7h3pQp52UBQ,"7065 S Camino Triste, Tucson, AZ, 85746",,8,airport shuttle Tucson
Diamondback Shuttle and  Transportation,(520) 203-7440,OcuYpMzGUEcA5q5Y22EW3A,"4158 E Grant Rd, Bldg 2, Tucson, AZ, 85714",,4,airport shuttle Tucson
GoldStar Town Car Service,(520) 490-5406,GaJvNcSgVz4mPeNllJ8Dhw,"Tucson, AZ, 85710",,10,airport shuttle Tucson
Roadrunner Transportation,(520) 977-5555,OCd3YSt-_3ugoRXVOUpMQQ,"Tucson, AZ, 85742",,2,airport shuttle Tucson
